Year,Plot,Subplot,Sub,Plot.Subplot,Longitude,Latitude,Majority,DBH,H100_field,mean_height,ABA,BA,TD,Lidar H100,Lidar Mean,Lidar_area,HRSI H100,HRSI mean,HRSI_area,Overstory ABG,Overstory BGB,Understory AGB,Understory BGB,Standing Dead AGB,Standing Dead BGB,Coarse Woody Debris,Ground Vegetation,Litter,Total AGB,Total BGB,Total Biomass (AGB+BGB),*Notes,,,,
2013,806,1,1,806.1,36.3035,-18.808457,3,9.38,11.75,7.79,0.01,17.87,2207.8,9999,9999,9999,11.93,10.81,154.69,70.57,24.21,2.18,1.07,0,0,1.21,0,1.03,74.99,25.28,100.27,Lidar and HRSI data were extracted from each map over a circular area about the same size as the subplots (154 m2),,,,
2013,806,2,2,806.2,36.3035,-18.808157,3,10.75,7.2,8.26,0.01,17,1493.51,9999,9999,9999,9.34,8.66,152.77,67.66,22.25,3.34,1.66,1.28,0.53,1.07,0,0.76,74.12,24.44,98.56,** Note the AREA column for lidar and HRSI.  Areas less that 150 are a result of missing pixels on the map.  They were not included in the statistics,,,,
2013,806,3,3,806.3,36.3038,-18.808457,3,11.97,7.3,10.24,0.01,27.27,2142.86,9999,9999,9999,11.14,10.42,154.69,113.29,37.64,5.15,2.52,0,0,3.33,0,0.8,122.57,40.16,162.73,,,,,
2013,806,4,4,806.4,36.3035,-18.808757,3,12.12,8.3,9.5,0.01,33.5,2467.54,9999,9999,9999,11.44,10.69,152.77,139.98,45.63,5.49,2.57,7.79,1.68,0.1,0,0.91,154.26,49.89,204.15,,,,,
2013,806,5,5,806.5,36.3032,-18.808457,3,12.95,11.5,8.9,0.02,26.42,1753.25,9999,9999,9999,11.68,11.02,151.48,109.95,36.05,0,0,0,0,1.16,0,0.34,111.45,36.05,147.5,,,,,
2013,864,1,6,864.1,36.24601,-18.818504,2,14.51,14.25,11.34,0.02,25.28,1363.64,17.44,16.27,156,15.1,14.59,152.13,134.68,42.31,0,0,9.65,5.2,10.38,0.02,0.05,154.78,47.51,202.29,,,,,
2013,864,2,7,864.2,36.24601,-18.818204,2,10.4,10.6,9.13,0.01,14.9,1558.45,18.12,15.53,154,15.65,14.47,152.77,65.12,22.24,7.7,3.46,2.01,0.26,1.7,0.07,0.04,76.65,25.95,102.6,,,,,
2013,864,3,8,864.3,36.24631,-18.818504,2,14.31,9.2,12.17,0.02,42.2,2207.8,14.79,13.31,155,12.98,11.88,154.05,232.6,71.4,3.95,1.97,1.46,0.22,3.02,0,0.05,241.08,73.6,314.68,,,,,
2013,864,4,9,864.4,36.24601,-18.818804,7,13.37,12.6,11.51,0.02,35.14,1818.19,17.54,15.84,154,15.47,14.76,155.98,205.15,60.8,5.96,2.72,3.45,0.77,3.51,0.33,0.04,218.44,64.29,282.73,,,,,
2013,864,5,10,864.5,36.24571,-18.818504,2,15.63,10.6,12.64,0.02,36.14,1558.45,15.71,13.47,150,16.05,14.38,152.13,215.41,64.18,1.72,0.81,9.86,1.82,4.31,3.06,0.86,235.22,66.81,302.03,,,,,
2013,1001,1,11,1001.1,36.240201,-18.831799,7,13.19,19.85,13.53,0.02,40.24,2337.67,20.13,18.86,153,17.75,17.17,153.41,207.51,64.43,4.89,2.11,2.11,0.52,3.95,0.03,0.41,218.9,67.06,285.96,,,,,
2013,1001,2,12,1001.2,36.240036,-18.831533,7,12.8,11.55,12.42,0.02,32,1883.12,17.41,14.78,155,14.83,13.94,153.41,173.84,53.25,15.55,6.97,0,0,4.96,0,1.76,196.11,60.22,256.33,,,,,
2013,1001,3,13,1001.3,36.240393,-18.831774,2,16.39,15.3,16.77,0.03,40.23,1493.51,21.71,19.25,155,18.75,18.22,152.13,242.77,70.74,8.89,3.8,5.42,0.98,12.3,0.02,1.27,270.67,75.52,346.19,,,,,
2013,1001,4,14,1001.4,36.240132,-18.831961,7,14.63,16.65,13.06,0.02,29.55,1363.64,18.22,16.58,154,15.86,15.21,153.41,195.93,56.78,0.81,0.41,0,0,3.64,0.04,1.49,201.91,57.19,259.1,,,,,
2013,1001,5,15,1001.5,36.239894,-18.831805,7,10.1,16.2,10.48,0.01,27.63,3116.89,15.35,12.47,154,13.47,12.4,154.05,125.28,43.16,5.96,2.72,0,0,2.05,0.05,1.06,134.41,45.89,180.29,,,,,
2013,1079,1,16,1079.1,36.264355,-18.840148,2,16.38,21.95,14.71,0.03,92.89,3311.7,22.82,17.66,147,20.69,19.29,152.77,604.72,171.17,7.05,3.06,0.55,0.28,9.28,0.04,0.06,621.7,174.46,796.16,,,,,
2013,1079,2,17,1079.2,36.264355,-18.839848,6,17.39,15.1,17.61,0.04,41.23,1168.84,20.84,15.57,155,9999,9999,9999,312.06,82.79,4.91,2.08,0,0,21.95,0.02,0.05,338.98,84.86,423.84,,,,,
2013,1079,3,18,1079.3,36.264655,-18.840148,2,14.93,14.55,13.58,0.02,70.25,2987.02,21.8,14.59,154,14.38,13.3,39.8,421.02,121.19,11.36,5.22,13.93,2.11,19.26,0,0.43,465.99,128.53,594.51,,,,,
2013,1079,4,19,1079.4,36.264355,-18.840448,9999,9999,9999,9999,9999,9999,9999,21.24,16.39,156,15.53,13.72,152.13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,1079,5,20,1079.5,36.264055,-18.840148,9999,9999,9999,9999,9999,9999,9999,20.58,16.93,155,18.55,16.88,155.98,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,1113,1,21,1113.1,36.213549,-18.845148,2,13.1,16.4,11.09,0.02,34.6,2077.92,17.18,13.16,150,16.68,13.68,152.77,191.75,58.64,2.92,1.44,6.18,1.25,5.53,1.65,0.07,208.1,61.33,269.43,,,,,
2013,1113,2,22,1113.2,36.213549,-18.844848,2,12.11,12,11.08,0.01,29.9,2142.86,15.42,12.52,154,12.91,11.88,152.77,147.74,47.17,0.56,0.29,0.62,0.15,6.57,2,1.87,159.37,47.62,206.98,,,,,
2013,1113,3,23,1113.3,36.213849,-18.845148,7,15.38,11.6,10.93,0.02,25.42,1038.96,19.21,15.67,154,17.05,15.59,152.13,146.09,43.03,4.48,1.94,14.16,5.89,17.28,2.09,0.16,184.27,50.86,235.13,,,,,
2013,1113,4,24,1113.4,36.213549,-18.845448,2,18.73,11.7,12.12,0.04,30.25,844.16,19.01,15.24,153,17.85,16.05,152.13,179.09,50.74,2.23,1.02,16.01,2.96,10.59,1.89,0.16,209.98,54.72,264.7,,,,,
2013,1113,5,25,1113.5,36.213249,-18.845148,9999,9999,9999,9999,9999,9999,9999,16.24,12.31,154,12.07,11.08,155.33,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,1130,1,26,1130.1,36.306805,-18.845914,3,9.71,11.3,8.56,0.01,18.74,2207.79,9999,9999,9999,9.83,8.58,152.77,66.6,23.35,0,0,0.99,0.11,1.03,0,0.29,68.9,23.46,92.36,,,,,
2013,1130,2,27,1130.2,36.306805,-18.845614,3,9.28,9.375,9.82,0.01,33.26,4545.46,9999,9999,9999,8.95,6.11,152.13,113.05,41.01,0,0,0.5,0.12,4.06,0,0.43,118.05,41.12,159.17,,,,,
2013,1130,3,28,1130.3,36.307105,-18.845914,3,10.72,9.375,7.93,0.01,23.81,2207.8,9999,9999,9999,7.83,6.09,151.48,98.57,32.64,0.39,0.21,4.57,0.98,0.77,0,0.75,105.05,33.83,138.87,,,,,
2013,1130,4,29,1130.4,36.306805,-18.846214,3,8.25,8.8,5.12,0.01,21.4,2792.22,9999,9999,9999,5.78,3.59,155.33,94.47,29.69,2.55,1.31,0.33,0.08,0.44,0,0.1,97.88,31.07,128.95,,,,,
2013,1130,5,30,1130.5,36.306505,-18.845914,3,12.22,9.9,10.26,0.01,21.96,1688.32,9999,9999,9999,7.72,6.35,156.62,87.9,29.49,4.02,1.87,0,0,1.83,0,0.18,93.93,31.35,125.28,,,,,
2013,1216,1,31,1216.1,36.123515,-18.854252,2,21.76,14.25,12.61,0.04,18.12,454.55,9999,9999,9999,11.43,10.53,152.77,106.25,30.93,0,0,0,0,26.17,0,0.05,132.47,30.93,163.4,,,,,
2013,1216,2,32,1216.2,36.123515,-18.853952,2,19.97,13.7,12.51,0.03,20.06,584.42,9999,9999,9999,13.33,12.32,155.98,114.7,33.91,0,0,0,0,8.76,0,0.2,123.66,33.91,157.57,,,,,
2013,1216,3,33,1216.3,36.123815,-18.854252,2,20.46,11.65,10.41,0.04,27.63,714.29,9999,9999,9999,13.26,12,150.84,166.09,47.7,0,0,0,0,20.69,0,0.01,186.8,47.71,234.5,,,,,
2013,1216,4,34,1216.4,36.123515,-18.854552,2,22.88,12.25,9.36,0.05,14.94,324.68,9999,9999,9999,8.03,6.07,152.13,90.86,25.97,0,0,0,0,3.57,0,0.13,94.55,25.97,120.52,,,,,
2013,1216,5,35,1216.5,36.123215,-18.854252,2,20.49,14.15,11.66,0.04,22.31,584.42,9999,9999,9999,14.75,13.33,155.33,131.67,38.12,0,0,0,0,21.8,0,0.13,153.59,38.11,191.7,,,,,
2013,1219,1,36,1219.1,36.237751,-18.854268,3,19.22,15.5,12.83,0.03,32.22,974.04,15.94,13.82,152,14.03,12.96,156.62,167.27,49.59,0.39,0.21,1.01,0.23,1.35,0,0.03,170.05,50.02,220.07,,,,,
2013,1219,2,37,1219.2,36.237751,-18.853968,3,15.02,14.35,10.69,0.02,41.97,2077.92,13.85,11.94,154,13.03,12.04,154.69,190.79,59.98,0.16,0.1,30.47,5.15,3.75,0,0.77,225.95,65.22,291.17,,,,,
2013,1219,3,38,1219.3,36.238051,-18.854268,3,13.9,15,12.04,0.02,11.97,714.29,14.94,13.94,155,12.89,12.01,152.77,49.88,16.25,3.23,1.48,3.79,0.79,10.22,0,0.32,67.44,18.53,85.96,,,,,
2013,1219,4,39,1219.4,36.237751,-18.854568,3,22.3,15,13.61,0.05,28.42,584.42,17.28,15.55,154,14.48,13.99,152.13,164.04,45.98,0,0,10.42,2.82,2.04,0,1.49,177.98,48.81,226.79,,,,,
2013,1219,5,40,1219.5,36.237451,-18.854268,3,16.58,14.15,11.03,0.03,38.72,1363.64,16.04,11.26,156,13.88,11.41,152.13,218.69,63.27,3.99,1.91,8.67,1.86,2.99,0,0.25,234.6,67.04,301.64,,,,,
2013,1254,1,41,1254.1,36.269428,-18.860066,10,18.75,28.6,20.61,0.03,59.88,1948.06,25.44,21.58,155,25.11,24.6,153.41,342.87,102.09,6.15,3.27,0.45,0.1,11.98,0,0.93,362.65,105.46,468.12,,,,,
2013,1254,2,42,1254.2,36.269438,-18.859817,10,16.7,23.85,19.85,0.02,41.26,1688.32,24,19.3,147,25.32,24.73,153.41,255.19,68.79,9.74,5.01,3.17,1.36,7.79,0,0.75,246.63,75.17,321.8,,,,,
2013,1254,3,43,1254.3,36.269648,-18.860025,10,20.19,21.3,18.09,0.04,44.16,1168.84,26.22,20.24,156,26.12,24.15,152.13,266.71,76.61,7.42,3.62,0,0,9.89,0,0.73,284.75,80.23,364.99,,,,,
2013,1254,4,44,1254.4,36.269503,-18.860349,10,20.65,15.25,20.43,0.04,49.98,1298.71,24,20.28,153,24.55,23.95,153.41,298.21,86.29,3.5,1.69,12.57,1.51,5.2,0.2,1.09,320.78,89.48,410.27,,,,,
2013,1254,5,45,1254.5,36.269204,-18.86015,10,16.18,27.75,18.22,0.03,49.44,1558.45,24.44,19.56,153,24.08,23.56,152.77,339.49,91.58,11.41,5.17,0,0,9.51,0.3,0.91,361.62,96.75,458.37,,,,,
2013,1285,1,46,1285.1,36.141464,-18.86529,6,12.12,14.3,9.56,0.01,42.13,2987.03,9999,9999,9999,11.36,10.69,154.05,213.01,67.71,0,0,14.91,5.22,4.14,0,0.05,232.12,72.92,305.04,,,,,
2013,1285,2,47,1285.2,36.141608,-18.86495,3,13.62,8.15,9.4,0.02,31.96,1688.33,9999,9999,9999,13.09,12.16,155.33,163.32,49.33,0,0,9.91,4,5.5,0,0.06,178.79,53.34,232.13,,,,,
2013,1285,3,48,1285.3,36.141758,-18.865297,5,16.98,9.85,10.48,0.03,33.1,1038.97,9999,9999,9999,13.13,12.55,152.77,198.96,56.31,5.22,2.35,22.3,4.69,8.72,0,0.04,235.24,63.35,298.59,,,,,
2013,1285,4,49,1285.4,36.141428,-18.865541,1,10.55,7.3,8.42,0.01,31.61,2402.61,9999,9999,9999,11.5,10.08,152.13,179.93,52.55,3.77,1.82,6.99,2.09,11.8,0,0.24,202.73,56.46,259.19,,,,,
2013,1285,5,50,1285.5,36.141195,-18.865199,5,14.47,12.1,7.99,0.02,30.74,1493.51,9999,9999,9999,9.98,9.29,152.77,160.86,49.16,0,0,17.72,3.58,9.5,0,0.08,188.17,52.74,240.91,,,,,
2013,1305,1,51,1305.1,36.282128,-18.868526,3,8.64,7.95,5.95,0.01,12.49,1883.12,8.07,6.47,155,5.08,3.78,152.77,41.83,15.07,0.19,0.11,0,0,0.02,0,0.38,42.43,15.18,57.61,,,,,
2013,1305,2,52,1305.2,36.282128,-18.868226,9999,9999,9999,9999,9999,9999,9999,10.93,8.45,156,9.39,5.04,152.13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,1305,3,53,1305.3,36.282428,-18.868526,9999,9999,9999,9999,9999,9999,9999,7.71,6.39,153,4.31,3.57,155.33,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,1305,4,54,1305.4,36.282128,-18.868826,3,6.83,5.3,5.35,0,7.12,1818.2,8.89,7.65,148,6.86,5.11,154.05,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,1305,5,55,1305.5,36.281828,-18.868526,9999,9999,9999,9999,9999,9999,9999,7.58,3.32,150,8.1,5.04,152.13,20.84,8.15,10.99,5.13,0.29,0.07,0.71,0.14,0.26,33.22,13.35,46.58,,,,,
2013,1314,1,56,1314.1,36.20356,-18.870943,1,9.07,10.1,7.5,0.01,18.5,2597.41,11.4,8.7,155,8.69,8.03,155.33,76.01,26.98,1.03,1.29,0,0,3.96,0,0.3,81.3,28.27,109.56,,,,,
2013,1314,2,57,1314.2,36.20356,-18.870643,5,9.25,10.05,6.95,0.01,21.56,2792.21,10.83,9.53,154,9.45,8.36,153.41,90.63,31.51,1.83,1.21,8.67,1.93,5.8,0,0.13,107.06,34.65,141.72,,,,,
2013,1314,3,58,1314.3,36.20386,-18.870943,5,7.34,7.4,5.93,0,9.19,2077.93,9.14,5.75,150,5.37,4.25,153.41,31.52,12.06,0,0,2.47,0.61,0.28,0,0.07,34.33,12.67,47,,,,,
2013,1314,4,59,1314.4,36.20356,-18.871243,6,8.34,5.85,7.14,0.01,11.81,1948.06,10.7,8.31,153,7.85,7.2,154.05,51.63,18.48,0.13,0.08,1.18,0.26,4.74,0,0.07,57.75,18.83,76.58,,,,,
2013,1314,5,60,1314.5,36.20326,-18.870943,5,10.91,6.55,7.83,0.01,12.98,1168.84,11.26,8.63,151,8.51,8.05,153.41,59.91,19.77,0,0,11.04,2.33,3.27,0,0.03,74.26,22.1,96.37,,,,,
2013,1317,1,61,1317.1,36.280204,-18.871772,5,6.59,8.45,6.45,0,7.34,2013,7.86,6.64,154,7.48,5.48,153.41,24.54,9.48,27.57,12.7,0,0,0.03,0.2,0.32,52.65,22.19,74.84,,,,,
2013,1317,2,62,1317.2,36.280204,-18.871472,5,6.68,7.15,6.93,0,5.52,1493.52,8.99,7.27,154,6.9,4,155.33,18.62,7.21,25.15,12.6,0.38,0.09,2.26,0.37,0.36,47.43,19.9,67.33,,,,,
2013,1317,3,63,1317.3,36.280504,-18.871772,5,6.13,6.35,5.6,0,1.37,454.55,8.88,6.36,155,9.83,5.33,152.13,4.15,1.68,16.81,7.85,0,0,1.43,0.63,0.3,23.31,9.53,32.84,,,,,
2013,1317,4,64,1317.4,36.280204,-18.872072,5,5.79,6.2,5.23,0,1.21,454.55,5.88,4.5,156,5.06,4.3,153.41,3.57,1.47,18.61,8.94,0.15,0.07,0.2,1.37,0.53,24.42,10.48,34.9,,,,,
2013,1317,5,65,1317.5,36.279904,-18.871772,5,7.7,6.1,5.42,0.01,6.55,1298.71,7.9,6.21,154,5.85,5.26,153.41,23.06,8.61,16.17,7.79,0.36,0.08,0,0.5,0.23,40.32,16.47,56.79,,,,,
2013,1359,1,66,1359.1,36.152707,-18.87926,6,10.99,9999,9999,0.01,37.19,3246.75,9999,9999,9999,13.91,13.65,152.77,206.17,66.35,0,0,2.48,0.56,6.44,0,0.11,215.2,66.92,282.12,,,,,
2013,1359,2,67,1359.2,36.152707,-18.87896,6,12.19,9999,9999,0.01,42.14,3051.96,9999,9999,9999,14.14,13.62,152.13,242.7,76.59,0,0,7.59,1.64,9.24,0,1.19,260.73,78.23,338.96,,,,,
2013,1359,3,68,1359.3,36.153007,-18.87926,6,11.64,9999,9999,0.01,32.33,2727.28,9999,9999,9999,14.99,14.52,152.77,175.42,57.34,0,0,1.09,0.28,2.99,0,0.15,179.65,57.62,237.26,,,,,
2013,1359,4,69,1359.4,36.152707,-18.87956,6,13.79,9999,9999,0.02,38.95,2207.79,9999,9999,9999,14.72,14.36,153.41,233.24,71.59,0,0,11.52,2.17,6.76,0,0.7,252.22,73.76,325.99,,,,,
2013,1359,5,70,1359.5,36.152407,-18.87926,6,14.96,9999,9999,0.02,29.89,1558.44,9999,9999,9999,14.67,14.12,155.98,179.65,55.8,0,0,5.4,1.21,9.82,0,0.53,195.4,57.01,252.4,,,,,
2013,1361,1,71,1361.1,36.168942,-18.881442,1,8.5,9.8,8.02,0.01,26.35,3896.11,9999,9999,9999,8.56,7.9,152.13,129.5,43.8,0,0,0,0,5.35,0,0.1,134.95,43.8,178.75,,,,,
