Year,Plot,Subplot,Sub,Plot.Subplot,Longitude,Latitude,Majority,DBH,H100_field,mean_height,ABA,BA,TD,Lidar H100,Lidar Mean,Lidar_area,HRSI H100,HRSI mean,HRSI_area,Overstory ABG,Overstory BGB,Understory AGB,Understory BGB,Standing Dead AGB,Standing Dead BGB,Coarse Woody Debris,Ground Vegetation,Litter,Total AGB,Total BGB,Total Biomass (AGB+BGB),*Notes,,,,
2013,1361,2,72,1361.2,36.169008,-18.881181,1,10.5,8.85,9.74,0.01,31,2987.01,9999,9999,9999,18.93,11.26,153.41,137.74,45.74,0,0,1.07,0.24,7.47,0,0.04,146.32,45.99,192.31,,,,,
2013,1361,3,73,1361.3,36.16924,-18.881462,3,10.48,8.35,8.62,0.01,20.96,2272.74,9999,9999,9999,13.91,10.18,155.98,86.12,30.06,0,0,42.57,8.5,3.36,0,0.02,132.08,38.55,170.63,,,,,
2013,1361,4,74,1361.4,36.168932,-18.881692,1,8.15,8.4,6.31,0.01,10.59,1883.13,9999,9999,9999,8.38,7.32,154.05,40.94,14.96,0.22,0.13,12.79,2.65,5.88,0,0.02,59.85,17.74,77.59,,,,,
2013,1361,5,75,1361.5,36.168701,-18.881372,1,11.41,8,8.77,0.02,61.73,3571.43,9999,9999,9999,10.91,9.41,152.77,470.31,123.24,4.86,2.06,29,5.54,20.23,0,0.04,524.44,130.84,655.28,,,,,
2013,1382,1,76,1382.1,36.174246,-18.88302,6,11.33,17.2,12.88,0.01,34.98,2987.03,9999,9999,9999,13.56,12.92,152.77,192.05,62.32,1.84,0.86,1.78,0.44,37.33,0,0,233,63.61,296.61,,,,,
2013,1382,2,77,1382.2,36.174246,-18.88272,6,14.77,12.8,12,0.02,28.57,1428.58,10.12,0.37,153,13.16,12.75,156.62,174.37,53.19,0,0,0,0,14.19,0,0.03,188.6,53.19,241.79,,,,,
2013,1382,3,78,1382.3,36.174546,-18.88302,6,11.74,14.35,10.66,0.01,43.28,3116.88,16.08,13.65,154,13.89,13.11,154.69,262.4,80.97,13.59,5.96,1.22,0.25,15.39,0,0.06,292.66,87.17,379.84,,,,,
2013,1382,4,79,1382.4,36.174246,-18.88332,6,11.42,11.35,10.79,0.01,32.48,2467.54,9999,9999,9999,13.33,12.41,152.77,194.14,60.44,0,0,4.73,1.07,36.67,0,0.07,235.61,61.52,297.13,,,,,
2013,1382,5,80,1382.5,36.173946,-18.88302,6,10.91,10.8,10.3,0.01,19.11,1753.25,9999,9999,9999,13.91,12.86,151.48,103.35,33.62,0,0,17.62,3.69,17.07,0.04,0.03,138.11,37.31,175.42,,,,,
2013,9001,1,81,9001.1,36.264041,-18.831602,7,13.73,17.85,10.46,0.02,26.48,1103.9,20.57,11.52,154,23.81,20.51,153.41,178.56,49.1,6.59,3.01,64.76,10.76,36.15,0.11,1.61,287.78,62.87,350.66,,,,,
2013,9001,2,82,9001.2,36.264123,-18.831361,7,10.7,6,10.71,0.01,23.1,2077.92,16.48,10.49,154,18.91,16.7,123.88,129.17,40.93,0.76,0.39,14.44,3.02,10.98,0.15,1.46,156.96,44.34,201.3,,,,,
2013,9001,3,83,9001.3,36.264295,-18.831615,7,11.01,12.4,8.8,0.01,28.45,2272.73,18.52,9.97,154,17.42,15.97,117.46,158.48,48.93,3.46,1.62,10.68,1.9,44.39,0.12,1.5,218.63,52.45,271.09,,,,,
2013,9001,4,84,9001.4,36.264059,-18.831868,7,12.52,13.3,11.35,0.01,15.4,1168.83,23.12,14.85,154,16.68,14.94,152.77,81.42,26.7,8.94,3.97,3.58,0.79,20.84,0,1.34,116.12,31.46,147.58,,,,,
2013,9001,5,85,9001.5,36.263792,-18.831618,7,15.14,8,9.36,0.03,36.84,1103.9,19.43,12.91,150,27.24,20.32,154.05,262.27,69.39,6.22,2.79,71.92,10.14,11.09,0,0.47,351.97,82.32,434.29,,,,,
2013,9002,1,86,9002.1,36.26043,-18.850342,2,18.96,20.3,15.69,0.04,68.01,1688.32,21.85,18.68,152,18.47,17.35,152.13,429.9,129.48,0,0,0,0,11.2,0,0.33,504.43,129.48,633.9,,,,,
2013,9002,2,87,9002.2,36.26043,-18.850042,2,13.39,17.8,13.53,0.02,17.03,1103.9,24.02,19.5,155,19.2,18.46,152.13,86.14,27.75,0,0,71.73,7.46,53.38,0.32,1.27,212.83,35.2,248.03,,,,,
2013,8002,3,88,9002.3,36.26073,-18.850342,9999,9999,9999,9999,9999,9999,9999,19.9,16.26,155,17.59,15.07,152.77,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,9002,4,89,9002.4,36.26043,-18.850642,2,13.18,9999,9999,0.02,26.1,1558.45,21.77,19.01,153,17.35,15.92,152.13,139.41,43.47,0,0,5.93,1.26,19.9,0,0.05,165.29,44.73,210.02,,,,,
2013,9002,5,90,9002.5,36.26013,-18.850342,7,16.27,15.75,13.04,0.03,65.26,1948.06,21.91,18.55,156,17.22,16.25,155.33,505.98,133.04,0,0,0,0,15.03,0,0.53,521.54,133.04,654.58,,,,,
2013,9003,1,91,9003.1,36.275058,-18.875474,4,17.41,26.65,15.39,0.03,62.45,1883.12,23.31,16.96,154,23.29,22.73,152.77,367.67,104.49,0,0,15.88,2.92,9.61,0.3,0.12,393.58,107.42,500.99,,,,,
2013,9003,2,92,9003.2,36.275058,-18.875174,4,19.5,17.9,17.24,0.04,63.7,1753.25,25.92,21.57,155,25.53,24.8,153.41,356.15,103.11,0,0,9.37,1.02,21.34,0.07,1.47,388.41,104.13,492.55,,,,,
2013,9003,3,93,9003.3,36.275358,-18.875474,4,18.45,25.1,12.57,0.04,84.07,2142.86,24.25,18.49,153,23.49,21.77,154.05,517.1,142.84,0,0,0,0.06,4.05,0.03,1.42,522.6,142.9,665.5,,,,,
2013,9003,4,94,9003.4,36.275058,-18.875774,6,12.65,14.95,14.16,0.02,32.12,1883.12,19.22,16.06,150,17.88,17.11,151.48,170.26,51.85,0,0,36.17,6.41,6.99,0.31,1.96,215.69,58.26,273.94,,,,,
2013,9003,5,95,9003.5,36.274758,-18.875474,4,16.13,10.9,16.05,0.03,49.2,1948.05,22.7,17.83,147,24.23,21.39,152.77,258.6,77.83,0,0,17.51,2.61,4.39,0.02,0.2,280.73,80.44,361.16,,,,,
2013,9004,1,96,9004.1,36.18594,-18.833962,7,15.16,19.85,13.96,0.02,38.26,1753.25,18.98,15.95,153,17.84,15.68,154.69,239.68,71.82,3.74,1.71,0,0,2.02,0.03,1.43,246.91,73.53,320.44,,,,,
2013,9004,2,97,9004.2,36.18594,-18.833662,9999,9999,19.85,9999,9999,9999,9999,19.12,15.55,154,19.64,17.38,155.33,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,9004,3,98,9004.3,36.18624,-18.833962,7,13.47,10.7,11.75,0.02,17.51,1038.97,18.6,16.14,156,17.51,15.08,156.62,82.6,26.31,0,0,0,0,12.16,0.99,5.97,101.72,26.3,128.03,,,,,
2013,9004,4,99,9004.4,36.18594,-18.834262,3,12.47,12.6,7.76,0.02,9.49,584.42,17.39,14.74,155,16.14,13.41,153.41,41.66,13.03,2.48,1.31,0,0,4.73,0.59,1.95,51.4,14.34,65.74,,,,,
2013,9004,5,100,9004.5,36.18564,-18.833962,7,15.78,17.25,15.53,0.02,17.33,779.23,19.09,16.36,154,16.45,15.33,155.33,90.48,27.97,0.23,0.13,24.55,4.4,3.45,0.5,0.65,119.85,32.5,152.35,,,,,
2013,9005,1,101,9005.1,36.218115,-18.824439,7,11.7,15.8,9.76,0.01,68.75,5649.35,17.74,12.47,154,10.86,7.33,154.05,368.38,119.77,5.5,2.65,0,0,5.33,0.04,2.26,381.51,122.42,503.93,,,,,
2013,9005,2,102,9005.2,36.218115,-18.824139,7,12.36,11.05,11.06,0.01,54.69,3896.1,18.39,13.35,154,10.71,8.4,153.41,308.34,97.54,9.57,4.42,0,0,10.7,0.18,4.26,333.06,101.97,435.03,,,,,
2013,9005,3,103,9005.3,36.218415,-18.824439,7,10.79,9.5,7.44,0.01,38.98,3506.49,11.66,9.34,156,4.81,4.01,155.33,212.45,68.35,24.28,11.41,0.19,0.1,2.84,0.06,4.67,244.5,79.86,324.37,,,,,
2013,9005,4,104,9005.4,36.218115,-18.824739,7,11.03,10.4,10.24,0.01,55.63,4740.26,14.44,12.24,156,10.01,8.01,153.41,310.47,98.57,6.13,2.79,2.68,0.52,7.5,0.04,1.75,328.54,101.88,430.42,,,,,
2013,9005,5,105,9005.5,36.217815,-18.824439,7,10.2,11.05,8.32,0.01,51.89,4935.06,18.46,11.68,155,10.34,6.85,152.77,286.07,91.46,7.4,3.59,16.86,2.85,2.66,0.5,3.21,316.8,97.9,414.7,,,,,
2013,9006,1,106,9006.1,36.270942,-18.870643,3,10.21,14.85,10.96,0.01,24.05,2532.48,26.91,21.48,154,24.84,24.14,152.77,88.56,30.54,0,0,8.64,1.9,12.34,0,0.1,109.65,32.45,142.1,,,,,
2013,9006,2,107,9006.2,36.270942,-18.870343,4,11.18,12.4,10.85,0.01,30.17,2792.21,26.73,21.24,151,25.05,24.28,152.13,119.78,41.07,0,0,1.53,0.45,1.98,0,0.06,123.35,41.52,164.87,,,,,
2013,9006,3,108,9006.3,36.271242,-18.870643,9999,9999,9999,9999,9999,9999,9999,27.98,22.83,150,24.97,24.39,152.77,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,9006,4,109,9006.4,36.270942,-18.870943,9999,9999,9999,9999,9999,9999,9999,26.66,21.48,154,24.53,23.87,154.69,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,9006,5,110,9006.5,36.270642,-18.870643,4,10.52,13,13.61,0.01,35.13,3636.36,25.14,21.85,154,23.86,23.15,156.62,138.85,47.91,0.41,0.22,2.14,0.26,1.81,0,0.01,143.22,48.4,191.62,,,,,
2013,9007,1,111,9007.1,36.132373,-18.822449,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,15.77,15.2,155.98,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,9007,2,112,9007.2,36.132326,-18.82219,5,10.87,17.95,13.3,0.01,12.71,1298.71,9999,9999,9999,16.76,15.01,152.13,51.23,17.85,3.33,1.47,5.7,0.57,3.18,0,0.25,63.7,19.89,83.59,,,,,
2013,9007,3,113,9007.3,36.132549,-18.822381,5,10.2,13.65,11.71,0.01,15.42,1753.25,9999,9999,9999,15.83,15.05,153.41,66.79,23.21,4.61,1.96,6.46,0.84,4.13,0,0.29,82.28,26.01,108.29,,,,,
2013,9007,4,114,9007.4,36.132334,-18.822718,5,12.11,13.45,12.31,0.01,20.99,1558.44,9999,9999,9999,16.01,15.2,155.33,96.95,31.64,0,0,3.97,0.7,3.35,0,0.08,104.35,32.34,136.69,,,,,
2013,9007,5,115,9007.5,36.13205,-18.82251,5,13.25,9.4,13.19,0.01,40.91,2857.14,9999,9999,9999,13.54,12.53,153.41,178.96,59.84,0,0,9.4,1.3,0.51,0,0.33,189.2,61.13,250.33,,,,,
2013,9008,1,116,9008.1,36.128404,-18.812733,7,19.23,16.7,13.59,0.03,34.7,1038.97,9999,9999,9999,16.45,15.31,154.05,205.23,60.32,9.09,3.88,11.59,2.4,3.41,0,0.29,229.6,66.57,296.2,,,,,
2013,9008,2,117,9008.2,36.128439,-18.812486,7,12.83,15.9,9.97,0.02,12.51,649.35,9999,9999,9999,16.9,15.77,152.13,77.32,22.46,7.42,3.32,20.7,3.76,3.11,0,0.01,108.57,29.54,138.11,,,,,
2013,9008,3,118,9008.3,36.128636,-18.812747,2,15.1,10.1,12.63,0.02,18.43,844.16,9999,9999,9999,16.32,15.33,152.13,103.57,31.45,0,0,17.75,3.05,7.59,0,1.11,130.02,34.5,164.53,,,,,
2013,9008,4,119,9008.4,36.128445,-18.813068,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,17.4,16.7,152.77,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,
2013,9008,5,120,9008.5,36.128008,-18.812845,2,16.24,13.4,11.78,0.03,42.96,1623.38,9999,9999,9999,16.7,14.15,152.13,253.49,74.33,2.8,1.25,109.5,15.3,7.89,0,0.2,373.88,90.87,464.75,,,,,
2013,9009,1,121,9009.1,36.118808,-18.845133,2,14.72,17.8,11.82,0.02,42.1,1753.25,9999,9999,9999,15.93,14.69,155.98,245.86,71.19,0,0,1.81,0.31,0.73,0,0,248.39,71.5,319.9,,,,,
2013,9009,2,122,9009.2,36.118808,-18.844833,2,12.61,13.05,9.1,0.02,40.02,2207.8,9999,9999,9999,19.08,16.26,150.2,227.41,66.8,0,0,0,0,5.64,0,0.05,233.1,66.8,299.91,,,,,
2013,9009,3,123,9009.3,36.119108,-18.845133,2,12.51,9.55,11.3,0.02,26.26,1688.33,9999,9999,9999,17.67,16.96,152.77,131.01,40.85,0,0,4.95,0.92,2.67,0,0.07,138.7,41.77,180.47,,,,,
2013,9009,4,124,9009.4,36.118808,-18.845433,2,15.61,7.95,11.06,0.02,34.23,1493.51,9999,9999,9999,15.05,14.24,153.41,179.65,54.34,0,0,21.35,3.52,3.77,0,0.04,204.81,57.86,262.66,,,,,
2013,9009,5,125,9009.5,36.118508,-18.845133,2,16.92,10.2,11.63,0.03,33.92,1233.77,9999,9999,9999,19.49,15.39,152.13,188.99,55.8,0,0,15.96,3.48,7.64,0,0.14,212.73,59.29,272.01,,,,,
2013,9010,1,126,9010.1,36.177483,-18.891503,1,5.67,7.3,6.48,0,12.48,4870.13,9999,9999,9999,5.93,5.52,154.69,43.51,17.67,78.32,35.73,0.42,0.1,3.91,0,0.03,126.09,53.49,179.58,,,,,
2013,9010,2,127,9010.2,36.177332,-18.89125,1,6.25,6.2,6.9,0,21.03,6753.25,9999,9999,9999,6.78,6.34,152.13,76.69,30.43,60.36,27.03,1.85,0.43,6.57,0,0.04,145.51,57.89,203.4,,,,,
2013,9010,3,128,9010.3,36.177723,-18.8916,1,6.04,6.15,5.98,0,14.89,5129.87,9999,9999,9999,6.6,6.14,153.41,53.32,21.36,73.57,32.99,1.42,0.32,1.65,0,0.05,130,54.67,184.67,,,,,
2013,9010,4,129,9010.4,36.177337,-18.891803,1,5.77,6.95,5.34,0,11.32,4285.71,9999,9999,9999,5.85,5.42,153.41,39.58,16.05,49.76,22.59,0.45,0.1,5.69,0,0.07,95.56,38.75,134.31,,,,,
2013,9010,5,130,9010.5,36.177183,-18.891503,1,5.79,6.2,6.12,0,13.8,5194.81,9999,9999,9999,6.04,5.72,153.41,48.37,19.6,84.44,37.66,0.47,0.11,2.64,0,0.16,136.09,57.37,193.46,,,,,
2013,9011,1,131,9011.1,36.170079,-18.884576,6,11.75,14.65,10.74,0.01,33.36,2662.34,9999,9999,9999,12.57,12.28,152.77,186.65,60.23,3.23,1.42,4.17,0.9,1.5,0,0.04,195.59,62.56,258.15,,,,,
2013,9011,2,132,9011.2,36.170074,-18.884272,6,11.03,9.2,9.79,0.01,29.22,2727.28,9999,9999,9999,12.27,11.89,152.13,155.34,51.45,4.86,2.06,6.94,1.41,3.13,0,0.07,170.34,54.92,225.26,,,,,
2013,9011,3,133,9011.3,36.170379,-18.884576,6,13.18,10.55,12.04,0.02,32.01,2077.93,9999,9999,9999,13.67,12.73,152.77,188.05,59.07,0,0,3.9,0.78,2.41,0,0.1,194.46,59.86,254.32,,,,,
2013,9011,4,134,9011.4,36.170048,-18.884776,6,10.9,11.1,10.78,0.01,28.82,2727.28,9999,9999,9999,12.21,11.36,152.13,153.57,50.76,0,0,10.3,2.11,4.36,0,0,168.23,52.87,221.1,,,,,
2013,9011,5,135,9011.5,36.169838,-18.884551,6,10.28,11.5,11.02,0.01,15.4,1623.38,9999,9999,9999,12.4,11.93,152.13,80.4,26.78,0,0,6.02,1.33,7.26,0,0.03,93.71,28.11,121.83,,,,,
2013,9012,1,136,9012.1,36.16247,-18.895905,1,7.65,9.05,6.87,0.01,10.09,2012.99,9999,9999,9999,8.36,6.54,153.41,42.16,15.43,0,0,4.51,1.32,9.29,0,0.06,56.01,16.75,72.76,,,,,
2013,9012,2,137,9012.2,36.16247,-18.895605,1,10.23,6.7,8.63,0.01,31.4,2987.01,9999,9999,9999,9.72,9.04,153.41,136.64,44.8,0,0,4.22,0.98,11.99,0,0.07,152.92,45.78,198.7,,,,,
2013,9012,3,138,9012.3,36.16277,-18.895905,1,6.62,7.65,5.04,0,3.03,844.16,9999,9999,9999,10.8,4.51,155.98,11.06,4.3,1.96,0.94,0,0,2.72,0,0.03,15.77,5.24,21.01,,,,,
2013,9012,4,139,9012.4,36.16247,-18.896205,1,11.75,6.4,10.14,0.01,27.46,1948.07,9999,9999,9999,9.21,8.36,152.77,124.86,39.87,0,0,28.32,5.44,8.24,0,0.03,161.45,45.31,206.76,,,,,
2013,9012,5,140,9012.5,36.16217,-18.895905,3,10.62,6.45,9.01,0.01,24.52,2272.74,9999,9999,9999,9.51,9.11,152.13,103.77,34.63,1.36,0.67,5.52,1,13.08,0,0.32,124.05,36.31,160.35,,,,,
2013,9013,1,141,9013.1,36.21079,-18.873529,2,8.08,11.45,8.2,0.01,13.88,2402.6,11.82,9.84,152,9.68,8.71,154.05,51.02,18.54,0,0,2.38,0.59,9.29,0,0.07,62.76,19.13,81.88,,,,,
2013,9013,2,142,9013.2,36.21079,-18.873229,2,9.91,7.65,8.09,0.01,23.52,2402.6,11.97,9.75,154,9.2,7.9,153.41,103.97,33.97,0,0,1.1,0.28,13.64,0,0.49,119.2,34.25,153.45,,,,,
2013,9013,3,143,9013.3,36.21109,-18.873529,2,10.66,10.9,8.31,0.01,16.57,1558.45,12.06,9.48,153,10.15,9.07,153.41,79.45,26.1,0,0,1.86,0.38,4.2,0,0.05,85.56,26.48,112.04,,,,,
2013,9013,4,144,9013.4,36.21079,-18.873829,3,7.75,7.7,6.46,0.01,5.52,1038.96,10.65,5.89,152,8.9,6.92,152.13,17.45,6.49,0,0,3.54,0.87,1.66,0,0.06,22.71,7.36,30.07,,,,,
2013,9013,5,145,9013.5,36.21049,-18.873529,3,11.29,8.75,7.02,0.01,33.15,2597.42,13.26,7.35,155,11.26,7.99,152.77,144.99,46.19,0,0,0,0,14.68,0,0.04,159.71,46.19,205.9,,,,,
